Temperature (°C),Humidity (%),Rain
14.9816047538945,37.36408184666985,no rain
38.02857225639664,33.291209623140325,no rain
29.279757672456203,17.615391250286006,no rain
23.946339367881464,60.726667010148795,no rain
6.240745617697461,47.66241605086289,rain
6.239780813448106,86.57009923240037,rain
2.3233444867279784,3.2109580482058253,no rain
34.647045830997406,64.38679275551263,no rain
24.04460046972835,76.29488785115612,rain
28.322903111841818,75.94865691883071,rain
0.8233797718320979,88.60739670955252,rain
38.79639408647977,72.9033742829494,no rain
33.29770563201687,92.78100616476964,rain
8.493564427131046,33.26565998208915,no rain
7.272998688284025,50.32094167515431,no rain
7.336180394137353,1.4079663282890675,no rain
12.169689718381509,0.6957587303291213,no rain
20.990257265289515,24.012662045151988,no rain
17.27780074568463,10.080719713908525,no rain
11.649165607921677,26.021136793575362,no rain
24.47411578889518,17.70432945283974,no rain
5.579754426081673,2.852002483864824,no rain
11.685785941408726,90.93041464060494,rain
14.654473731747668,0.8223131388891525,no rain
18.24279936868144,73.60821443370854,rain
31.407038455720546,15.214788691951654,no rain
7.986951286334389,91.22296219996,rain
20.569377536544465,89.27959395898858,rain
23.6965827544817,65.39011463692573,no rain
1.858016508799909,67.22341498006051,rain
24.301794076057533,0.5339141969688543,no rain
6.820964947491661,98.4871566113602,rain
2.6020637194111806,87.78326035758144,rain
37.95542149013333,89.5106225730092,rain
38.625281322982374,65.92445370508719,no rain
32.33589392465844,34.47869286545365,no rain
12.184550766934827,89.36486490904808,rain
3.906884560255355,29.151692815119233,no rain
27.369321060486275,56.271154334220284,no rain
17.606099749584054,9.97309723438824,no rain
4.881529393791153,92.19556301327502,rain
19.807076404450807,14.077045777121333,no rain
1.3755408446087358,22.489680573040726,no rain
36.372816083151285,55.813415812821496,no rain
10.351199264000677,76.40930002129815,rain
26.50089137415928,61.93513059362989,no rain
12.468443043576439,23.213391280015617,no rain
20.802720847112433,0.09430425274903342,no rain
21.868411173731186,75.71505803074392,rain
7.394178221021082,98.52073259110938,rain
38.783385110582344,80.99131203060904,rain
31.005312934444582,46.02066181566153,no rain
37.579957662567566,90.37672613991066,rain
35.79309401710595,40.984767311835,no rain
23.915999152443405,52.493408424346754,no rain
36.87496940092467,47.712976739568326,no rain
3.53970008207678,44.762387266552494,rain
7.839314496765808,77.51907692939058,rain
1.8090915564215226,52.676890726949196,rain
13.013213230530575,31.671712202521608,no rain
15.547091587579281,25.81581676584783,no rain
10.853961270955836,3.7747316967433386,no rain
33.14950036607718,58.3195161883046,no rain
14.270133067743572,22.99614154010342,no rain
11.23738038749523,14.813392201638308,no rain
21.70784332632994,65.38299638276777,rain
5.636968998990506,68.12092578215488,rain
32.08787923016159,75.21548922576659,rain
2.982025747190833,50.357689633859145,no rain
39.47547746402069,89.40546052038866,rain
30.889790771866295,93.63427533982278,rain
7.948627261366896,80.73709397924894,rain
0.22088468494409597,63.55934820081872,rain
32.618457138193364,30.372095359118866,no rain
28.274293753904686,98.29449216202212,rain
29.160286721639494,27.413616719193833,no rain
30.85081386743783,20.265692199043105,no rain
2.9617860693636144,44.215411378658274,rain
14.338629141770905,5.684057071238846,no rain
4.634762381005189,97.84944646717908,rain
34.52413703502374,58.84335564164248,no rain
24.931925073102317,55.69520916641753,no rain
13.235920994105967,65.57962798997198,rain
2.5423340114409454,49.70236477772067,no rain
12.439292868626488,3.2063517094541583,no rain
13.007332881069882,61.23112888403968,rain
29.18424713352256,71.61738769564306,rain
25.502298854208526,41.67490606240531,no rain
35.48850970305306,75.72955720711929,rain
18.888597006477973,22.70012993384206,no rain
4.783769837532068,22.127659106618403,no rain
28.5297914889198,16.141698768757394,no rain
30.431401944675898,37.19947597891618,no rain
22.45108790277985,84.70120353890836,rain
30.83868719818244,82.79120621490644,rain
19.75182385457563,38.28242079635038,no rain
20.909313175279763,58.911873598023654,no rain
17.101640734341984,72.08163164749156,rain
1.0167650697638075,24.1206774628023,no rain
4.315657079732178,16.814108589474706,no rain
1.25716742746937,97.2095993212311,rain
25.456416450551217,61.75573132096185,no rain
12.574239243053068,98.14157218336639,rain
20.342827646588113,33.77559871322291,no rain
36.30265895704372,70.30316999741315,no rain
9.971689165954999,22.260363654123772,no rain
16.415316921425188,26.120017127391293,no rain
30.222045541721947,51.1902121269624,no rain
9.151926619664899,31.961812550807124,no rain
3.0791963931517197,16.762156384058446,no rain
11.590058116550722,26.2880701989326,no rain
6.448851490160177,3.574839446586464,no rain
37.18790609370292,70.44236214774867,no rain
32.32481518257668,49.21166570858616,no rain
25.33615026041694,9.424306640452562,no rain
34.85842360750871,17.16939931284912,no rain
32.14688307596458,10.253453811264402,no rain
7.4628023554414336,61.259280827587645,rain
35.70235993959911,9.42103636124938,no rain
21.573689676626028,75.42823330352161,rain
32.2976062065625,2.0510919320391174,no rain
35.84365199693973,24.93757879958921,no rain
12.720138998874555,89.06666758919071,rain
4.40207698110707,71.8531318122246,rain
9.117406501677667,7.296833292568772,no rain
17.08431154505025,82.11261044851797,rain
32.72059063689972,49.30351215402048,no rain
34.429223330253734,84.67830271688292,rain
0.27808522124762813,60.07397744503934,rain
20.42989210310263,68.18330320328587,rain
16.69644012595116,99.35015603957082,rain
8.88431241882921,23.233554592401816,no rain
4.794614693347312,62.394557476138836,rain
13.504606856145118,46.032139005739836,no rain
37.71638815650077,3.9451952922691436,no rain
12.92811728083021,1.4470641502865034,no rain
20.751624869734645,11.922857781785867,no rain
28.120758355807112,64.90917405385481,no rain
14.54518409517176,56.71630879133922,no rain
38.87128330883843,55.34295611637275,no rain
38.497891797684446,3.1856762528260085,no rain
10.071291833014566,46.930299636000704,no rain
19.88994023569542,92.46228178425285,rain
12.035132392670786,39.75918693106466,no rain
11.393619775098704,62.492246978845635,no rain
1.4754778941813118,77.98186756231435,rain
24.382573359195874,78.39252791418876,rain
20.10716092915446,51.92800823952714,no rain
2.059150049999574,85.79519454023364,rain
11.145858569464458,39.137809336374694,no rain
36.33063543866615,88.86932147847983,rain
9.582475626678896,24.02271663955453,no rain
5.795794883648924,28.021640699057105,no rain
19.57811041110252,5.31206241990011,no rain
39.42601816442403,79.55818365422829,rain
9.682210860460017,41.70552362327056,no rain
26.885421896235144,22.911661391139905,no rain
30.4647846131487,23.179027761657967,no rain
9.505501759695987,90.13999412292331,rain
29.128653944474383,83.3916600461037,rain
14.711325308770128,55.35308853571833,no rain
25.292233223743178,61.61108004157211,no rain
25.34118843043579,47.4325570550291,no rain
